frame,true_z,est_z,true_x,est_x,true_ttc,est_ttc,brake_needed
0,35.00000087871618,-1,-2.4999256854653056,-1,999.0,999.0,False
1,34.99999844572078,-1,-2.499711940069214,-1,999.0,999.0,False
2,34.999999722827916,-1,-2.4993456518938615,-1,999.0,999.0,False
3,35.00000433902735,-1,-2.498842075217175,-1,999.0,999.0,False
4,34.99999778206165,-1,-2.4981703304730476,-1,999.0,999.0,False
5,35.005105779839596,-1,-2.497273532273449,-1,999.0,999.0,False
6,35.00987240739245,-1,-2.4962920946539424,-1,999.0,999.0,False
7,35.011229011862675,-1,-2.495156985792961,-1,999.0,999.0,False
8,35.011351286302975,-1,-2.4939036984203486,-1,999.0,999.0,False
9,35.004316113611225,-1,-2.492276494093759,-1,74.22405910692467,999.0,False
10,34.9564448155502,-1,-2.489062696368994,-1,27.48787380787085,999.0,False
11,34.87142053364026,-1,-2.48425866458115,-1,17.67841327031419,999.0,False
12,34.75467982813514,-1,-2.478025826377122,-1,13.63588534648373,999.0,False
13,34.612506827147854,-1,-2.4703281397662673,-1,11.441393624369086,999.0,False
14,34.44826884790283,-1,-2.4611646521743893,-1,9.988975559352244,999.0,False
15,34.26405504512774,-1,-2.4505252528565133,-1,8.934740070272055,999.0,False
16,34.061722787011,-1,-2.438389324745002,-1,8.147910977971069,999.0,False
17,33.843698643710965,-1,-2.4247596531917828,-1,7.565730067428638,999.0,False
18,33.61275058467081,-1,-2.4096525837324694,-1,7.137449477091798,999.0,False
19,33.37165127881516,-1,-2.3930491022293245,-1,6.823209070659158,999.0,False
20,33.12297915827119,-1,-2.3749752238812163,-1,6.591687947037492,999.0,False
21,32.86894423179963,-1,-2.3554501893843076,-1,6.429751108321127,999.0,False
22,32.614710833634916,-1,-2.3354271591260396,-1,6.465384799803022,999.0,False
23,32.36337479107545,30.661048889160156,-2.315437556237162,-2.2883572578430176,6.414005151338602,6.075297565934562,False
24,32.11003170853771,30.405797958374023,-2.295444827603723,-2.264979362487793,6.380282597268873,6.040264468947909,False
25,31.858833581823593,30.1528377532959,-2.2754498087828026,-2.2571473121643066,6.312181639978745,5.970250281156896,False
26,31.60504171520407,29.900453567504883,-2.2554291069574854,-2.2448010444641113,6.267423889497125,5.925038818601744,False
27,31.353637650328963,29.650157928466797,-2.235429149851363,-2.227135419845581,6.24651687479355,5.908761462690482,False
28,31.10073696333624,29.398021697998047,-2.2154469043017313,-2.203582286834717,6.113400518084158,5.793203642251676,False
29,30.84773075478548,29.146886825561523,-2.1954343515568797,-2.1792027950286865,6.108665416429244,5.790220183675372,False
30,30.59594533547105,28.892732620239258,-2.1754250920655194,-2.1579251289367676,6.027057563117941,5.704489071346097,False
31,30.341045817662256,28.63933563232422,-2.1554317239832534,-2.1412465572357178,5.971360228851994,5.649559436796353,False
32,30.088985821234036,28.38999366760254,-2.135415790877584,-2.131051540374756,6.001463757120833,5.678607843253822,False
33,29.83601708263286,28.135997772216797,-2.115423560621358,-2.122213125228882,5.817295576322962,5.506322898781503,False
34,29.581423392018753,27.88493537902832,-2.095407099097903,-2.111560821533203,5.846065866106048,5.53449112131453,False
35,29.329110129312962,27.633493423461914,-2.0754272733025507,-2.095975160598755,5.82007498411445,5.505785508821553,False
36,29.077507495702847,27.380895614624023,-2.0554262342831007,-2.076160430908203,5.723930476806365,5.412536969651318,False
37,28.822128562727034,27.124916076660156,-2.035405699758188,-2.051177978515625,5.660190529884448,5.343595520642796,False
38,28.569411519813492,26.87228775024414,-2.015419586981745,-2.0219368934631348,5.68202692841433,5.357013076433477,False
